id_puesto,id_catagoria
1,1
1,2
1,3
1,22
1,28
1,29
1,30
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,45
1,46
1,47
1,48
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
2,1
2,2
2,3
2,28
2,29
2,30
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,45
2,46
2,47
2,48
2,53
2,54
2,55
2,56
2,57
2,58
2,59
2,60
2,61
3,2
3,3
3,28
3,29
3,30
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,45
3,46
3,47
3,48
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,60
3,61
4,1
4,2
4,3
4,12
4,13
4,18
4,22
4,23
4,28
4,29
4,30
4,37
4,38
4,39
4,40
4,41
4,42
4,43
4,45
4,46
4,47
4,48
4,53
4,54
4,55
4,56
4,57
4,58
4,59
4,60
4,61
5,1
5,2
5,3
5,12
5,13
5,18
5,20
5,22
5,23
5,28
5,29
5,30
5,37
5,38
5,39
5,40
5,41
5,42
5,43
5,45
5,46
5,47
5,48
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,60
5,61
6,1
6,2
6,3
6,12
6,13
6,18
6,22
6,23
6,28
6,29
6,30
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,45
6,46
6,47
6,48
6,53
6,54
6,55
6,56
6,57
6,58
6,59
6,60
6,61
7,1
7,2
7,3
7,12
7,13
7,18
7,22
7,23
7,28
7,29
7,30
7,37
7,38
7,39
7,40
7,41
7,42
7,43
7,45
7,46
7,47
7,48
7,53
7,54
7,55
7,56
7,57
7,58
7,59
7,60
7,61
8,1
8,2
8,3
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,22
8,23
8,26
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,45
8,46
8,47
8,48
8,49
8,50
8,52
8,53
8,54
8,55
8,56
8,57
8,58
8,59
8,60
8,61
9,1
9,3
9,22
9,28
9,29
9,30
9,37
9,38
9,39
9,40
9,41
9,42
9,43
9,45
9,46
9,47
9,48
9,53
9,54
9,55
9,56
9,57
9,58
9,59
9,60
9,61
10,1
10,2
10,3
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,20
10,21
10,22
10,23
10,26
10,27
10,28
10,29
10,30
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,45
10,46
10,47
10,48
10,50
10,52
10,53
10,54
10,55
10,56
10,57
10,58
10,59
10,60
10,61
11,1
11,2
11,3
11,8
11,9
11,10
11,11
11,20
11,21
11,22
11,23
11,26
11,27
11,28
11,29
11,30
11,37
11,38
11,39
11,40
11,41
11,42
11,43
11,45
11,46
11,47
11,48
11,52
11,53
11,54
11,55
11,56
11,57
11,58
11,59
11,60
11,61
12,1
12,2
12,3
12,8
12,9
12,11
12,12
12,13
12,14
12,15
12,16
12,20
12,21
12,22
12,23
12,27
12,28
12,29
12,30
12,37
12,38
12,39
12,40
12,41
12,42
12,43
12,45
12,46
12,47
12,48
12,52
12,53
12,54
12,55
12,56
12,57
12,58
12,59
12,60
12,61
13,1
13,2
13,3
13,8
13,9
13,11
13,12
13,13
13,20
13,21
13,22
13,23
13,27
13,28
13,29
13,30
13,37
13,38
13,39
13,40
13,41
13,42
13,43
13,45
13,46
13,47
13,48
13,52
13,53
13,54
13,55
13,56
13,57
13,58
13,59
13,60
13,61
14,1
14,2
14,3
14,4
14,8
14,9
14,10
14,11
14,12
14,13
14,14
14,16
14,20
14,21
14,22
14,23
14,26
14,27
14,28
14,29
14,30
14,37
14,38
14,39
14,40
14,41
14,42
14,43
14,45
14,46
14,47
14,48
14,50
14,52
14,53
14,54
14,55
14,56
14,57
14,58
14,59
14,60
14,61
15,1
15,2
15,3
15,8
15,9
15,11
15,12
15,13
15,14
15,20
15,21
15,22
15,23
15,27
15,28
15,29
15,30
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,45
15,46
15,47
15,48
15,52
15,53
15,54
15,55
15,56
15,57
15,58
15,59
15,60
15,61
16,1
16,2
16,3
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,16
16,18
16,20
16,21
16,22
16,23
16,26
16,27
16,28
16,29
16,30
16,37
16,38
16,39
16,40
16,41
16,42
16,43
16,45
16,46
16,47
16,48
16,52
16,53
16,54
16,55
16,56
16,57
16,58
16,59
16,60
16,61
17,1
17,2
17,3
17,4
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,18
17,20
17,21
17,22
17,23
17,26
17,27
17,28
17,29
17,30
17,37
17,38
17,39
17,40
17,41
17,42
17,43
17,45
17,46
17,47
17,48
17,50
17,52
17,53
17,54
17,55
17,56
17,57
17,58
17,59
17,60
17,61
18,1
18,2
18,3
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,20
18,21
18,22
18,23
18,26
18,27
18,28
18,29
18,30
18,37
18,38
18,39
18,40
18,41
18,42
18,43
18,45
18,46
18,47
18,48
18,50
18,52
18,53
18,54
18,55
18,56
18,57
18,58
18,59
18,60
18,61
19,1
19,2
19,3
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,20
19,21
19,22
19,23
19,26
19,27
19,28
19,29
19,30
19,37
19,38
19,39
19,40
19,41
19,42
19,43
19,45
19,46
19,47
19,48
19,50
19,52
19,53
19,54
19,55
19,56
19,57
19,58
19,59
19,60
19,61
20,1
20,2
20,3
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,20
20,21
20,22
20,23
20,26
20,27
20,28
20,29
20,30
20,37
20,38
20,39
20,40
20,41
20,42
20,43
20,45
20,46
20,47
20,48
20,50
20,52
20,53
20,54
20,55
20,56
20,57
20,58
20,59
20,60
20,61
21,1
21,2
21,3
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,18
21,20
21,21
21,22
21,23
21,26
21,27
21,28
21,29
21,30
21,37
21,38
21,39
21,40
21,41
21,42
21,43
21,45
21,46
21,47
21,48
21,52
21,53
21,54
21,55
21,56
21,57
21,58
21,59
21,60
21,61
22,1
22,2
22,3
22,4
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,18
22,20
22,21
22,22
22,23
22,26
22,27
22,28
22,29
22,30
22,37
22,38
22,39
22,40
22,41
22,42
22,43
22,45
22,46
22,47
22,48
22,50
22,52
22,53
22,54
22,55
22,56
22,57
22,58
22,59
22,60
22,61
23,1
23,2
23,3
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,18
23,20
23,21
23,22
23,23
23,26
23,27
23,28
23,29
23,30
23,37
23,38
23,39
23,40
23,41
23,42
23,43
23,45
23,46
23,47
23,48
23,50
23,52
23,53
23,54
23,55
23,56
23,57
23,58
23,59
23,60
23,61
24,1
24,2
24,3
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,18
24,20
24,21
24,22
24,23
24,26
24,27
24,28
24,29
24,30
24,37
24,38
24,39
24,40
24,41
24,42
24,43
24,45
24,46
24,47
24,48
24,50
24,52
24,53
24,54
24,55
24,56
24,57
24,58
24,59
24,60
24,61
25,1
25,2
25,3
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,18
25,20
25,21
25,22
25,23
25,26
25,27
25,28
25,29
25,30
25,37
25,38
25,39
25,40
25,41
25,42
25,43
25,45
25,46
25,47
25,48
25,52
25,53
25,54
25,55
25,56
25,57
25,58
25,59
25,60
25,61
26,1
26,2
26,3
26,12
26,13
26,21
26,22
26,23
26,29
26,30
26,37
26,38
26,39
26,40
26,41
26,42
26,43
26,45
26,46
26,47
26,48
26,52
26,53
26,54
26,55
26,56
26,57
26,58
26,59
26,60
26,61
27,1
27,2
27,3
27,4
27,8
27,9
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,20
27,21
27,22
27,23
27,26
27,27
27,28
27,29
27,30
27,37
27,38
27,39
27,40
27,41
27,42
27,43
27,45
27,46
27,47
27,48
27,52
27,53
27,54
27,55
27,56
27,57
27,58
27,59
27,60
27,61
28,1
28,2
28,3
28,4
28,22
28,28
28,29
28,30
28,37
28,38
28,39
28,40
28,41
28,42
28,43
28,44
28,45
28,46
28,47
28,48
28,53
28,54
28,55
28,56
28,57
28,58
28,59
28,60
28,61
29,1
29,2
29,3
29,4
29,5
29,6
29,7
29,8
29,9
29,10
29,11
29,12
29,13
29,14
29,15
29,16
29,17
29,18
29,19
29,20
29,21
29,22
29,23
29,24
29,25
29,26
29,27
29,28
29,29
29,30
29,31
29,32
29,33
29,34
29,35
29,36
29,37
29,38
29,39
29,40
29,41
29,42
29,43
29,44
29,45
29,46
29,47
29,48
29,49
29,50
29,51
29,52
29,53
29,54
29,55
29,56
29,57
29,58
29,59
29,60
29,61
29,62
29,63
30,1
30,3
30,22
30,29
30,30
30,37
30,38
30,39
30,40
30,41
30,42
30,43
30,45
30,46
30,47
30,48
30,49
30,53
30,54
30,55
30,56
30,57
30,58
30,59
30,60
30,61
31,1
31,3
31,22
31,29
31,30
31,37
31,38
31,39
31,40
31,41
31,42
31,43
31,45
31,46
31,47
31,48
31,49
31,53
31,54
31,55
31,56
31,57
31,58
31,59
31,60
31,61
32,1
32,3
32,22
32,29
32,30
32,37
32,38
32,39
32,40
32,41
32,42
32,43
32,45
32,46
32,47
32,48
32,53
32,54
32,55
32,56
32,57
32,58
32,59
32,60
32,61
33,1
33,3
33,22
33,29
33,30
33,37
33,38
33,39
33,40
33,41
33,42
33,43
33,45
33,46
33,47
33,48
33,49
33,53
33,54
33,55
33,56
33,57
33,58
33,59
33,60
33,61
34,1
34,3
34,22
34,29
34,30
34,37
34,38
34,39
34,40
34,41
34,42
34,43
34,45
34,46
34,47
34,48
34,53
34,54
34,55
34,56
34,57
34,58
34,59
34,60
34,61
35,1
35,3
35,22
35,29
35,30
35,37
35,38
35,39
35,40
35,41
35,42
35,43
35,45
35,46
35,47
35,48
35,53
35,54
35,55
35,56
35,57
35,58
35,59
35,60
35,61
36,1
36,2
36,3
36,29
36,30
36,37
36,38
36,39
36,40
36,41
36,42
36,43
36,45
36,46
36,47
36,48
36,49
36,53
36,54
36,55
36,56
36,57
36,58
36,59
36,60
36,61
37,1
37,2
37,3
37,8
37,11
37,12
37,13
37,16
37,19
37,22
37,23
37,27
37,28
37,30
37,33
37,34
37,35
37,45
37,46
37,47
37,48
37,61
38,1
38,3
38,4
38,11
38,12
38,13
38,16
38,19
38,22
38,23
38,27
38,28
38,30
38,33
38,34
38,35
38,45
38,46
38,47
38,48
38,61
39,1
39,2
39,3
39,6
39,8
39,11
39,12
39,13
39,16
39,19
39,22
39,23
39,27
39,28
39,30
39,33
39,34
39,35
39,45
39,46
39,47
39,48
39,61
40,1
40,3
40,5
40,11
40,12
40,13
40,16
40,19
40,22
40,23
40,27
40,28
40,30
40,33
40,34
40,35
40,45
40,46
40,47
40,48
40,61
41,1
41,2
41,3
41,8
41,12
41,13
41,22
41,23
41,28
41,30
41,34
41,35
41,45
41,49
41,61
42,1
42,2
42,3
42,4
42,5
42,6
42,7
42,8
42,9
42,10
42,11
42,12
42,13
42,14
42,15
42,16
42,17
42,18
42,19
42,20
42,21
42,22
42,23
42,24
42,25
42,26
42,27
42,28
42,29
42,30
42,31
42,32
42,33
42,34
42,35
42,36
42,37
42,38
42,39
42,40
42,41
42,42
42,43
42,44
42,45
42,46
42,47
42,48
42,49
42,50
42,51
42,52
42,53
42,54
42,55
42,56
42,57
42,58
42,59
42,60
42,61
42,62
42,63
43,1
43,44
